"global_step","1765346631-grad-compression=accumulate-grads - charts/network_transfer_in_mb","1765346631-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MIN","1765346631-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MAX","1765346631-grad-compression=accumulate-grads - _step","1765346631-grad-compression=accumulate-grads - _step__MIN","1765346631-grad-compression=accumulate-grads - _step__MAX","1765346490-grad-compression=accumulate-grads - charts/network_transfer_in_mb","1765346490-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MIN","1765346490-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MAX","1765346490-grad-compression=accumulate-grads - _step","1765346490-grad-compression=accumulate-grads - _step__MIN","1765346490-grad-compression=accumulate-grads - _step__MAX","1765346213-grad-compression=None - charts/network_transfer_in_mb","1765346213-grad-compression=None - charts/network_transfer_in_mb__MIN","1765346213-grad-compression=None - charts/network_transfer_in_mb__MAX","1765346213-grad-compression=None - _step","1765346213-grad-compression=None - _step__MIN","1765346213-grad-compression=None - _step__MAX"
"0","1403.8535","1403.8535","1403.8535","10","10","10","1402.7158","1402.7158","1402.7158","10","10","10","1397.6582","1397.6582","1397.6582","10","10","10"
"4096","2807.8418","2807.8418","2807.8418","21","21","21","2806.143","2806.143","2806.143","21","21","21","2801.4282","2801.4282","2801.4282","21","21","21"
"8192","4211.2964","4211.2964","4211.2964","32","32","32","4210.023","4210.023","4210.023","32","32","32","4204.9673","4204.9673","4204.9673","32","32","32"
"12288","5614.783","5614.783","5614.783","43","43","43","5613.6553","5613.6553","5613.6553","43","43","43","5608.8853","5608.8853","5608.8853","43","43","43"
"16384","7018.26","7018.26","7018.26","54","54","54","7017.365","7017.365","7017.365","54","54","54","7012.68","7012.68","7012.68","54","54","54"
"20480","8422.127","8422.127","8422.127","65","65","65","8421.017","8421.017","8421.017","65","65","65","8416.384","8416.384","8416.384","65","65","65"
"24576","9825.28","9825.28","9825.28","76","76","76","9824.334","9824.334","9824.334","76","76","76","9820.11","9820.11","9820.11","76","76","76"
"28672","11229.1","11229.1","11229.1","87","87","87","11228.229","11228.229","11228.229","87","87","87","11223.49","11223.49","11223.49","87","87","87"
"32768","12002.386","12002.386","12002.386","98","98","98","12117.819","12117.819","12117.819","98","98","98","12626.966","12626.966","12626.966","98","98","98"
"36864","12775.894","12775.894","12775.894","109","109","109","13006.933","13006.933","13006.933","109","109","109","14030.71","14030.71","14030.71","109","109","109"
"40960","13549.231","13549.231","13549.231","121","121","121","13896.338","13896.338","13896.338","121","121","121","15434.515","15434.515","15434.515","121","121","121"
"45056","14322.37","14322.37","14322.37","132","132","132","14785.391","14785.391","14785.391","132","132","132","16838.404","16838.404","16838.404","132","132","132"
"49152","15095.805","15095.805","15095.805","143","143","143","15674.909","15674.909","15674.909","143","143","143","18242.299","18242.299","18242.299","143","143","143"
"53248","15869.181","15869.181","15869.181","154","154","154","16563.93","16563.93","16563.93","154","154","154","19645.77","19645.77","19645.77","154","154","154"
"57344","16642.227","16642.227","16642.227","165","165","165","17453.11","17453.11","17453.11","165","165","165","21049.459","21049.459","21049.459","165","165","165"
"61440","17415.322","17415.322","17415.322","176","176","176","18342.379","18342.379","18342.379","176","176","176","22452.857","22452.857","22452.857","176","176","176"
"65536","18188.707","18188.707","18188.707","187","187","187","19231.785","19231.785","19231.785","187","187","187","23856.752","23856.752","23856.752","187","187","187"
"69632","18962.273","18962.273","18962.273","198","198","198","20121.193","20121.193","20121.193","198","198","198","25259.928","25259.928","25259.928","198","198","198"
"73728","19735.84","19735.84","19735.84","209","209","209","21010.654","21010.654","21010.654","209","209","209","26663.764","26663.764","26663.764","209","209","209"
"77824","20509.703","20509.703","20509.703","220","220","220","21899.988","21899.988","21899.988","220","220","220","28067.434","28067.434","28067.434","220","220","220"
"81920","21283.273","21283.273","21283.273","231","231","231","22788.957","22788.957","22788.957","231","231","231","29471.191","29471.191","29471.191","231","231","231"
"86016","22056.28","22056.28","22056.28","243","243","243","23678.275","23678.275","23678.275","243","243","243","30874.74","30874.74","30874.74","243","243","243"
"90112","22829.656","22829.656","22829.656","254","254","254","24567.72","24567.72","24567.72","254","254","254","32278.273","32278.273","32278.273","254","254","254"
"94208","23603.04","23603.04","23603.04","265","265","265","25456.982","25456.982","25456.982","265","265","265","33682.156","33682.156","33682.156","265","265","265"
"98304","24376.6","24376.6","24376.6","276","276","276","26346.297","26346.297","26346.297","276","276","276","35085.62","35085.62","35085.62","276","276","276"
"102400","25149.953","25149.953","25149.953","287","287","287","27235.59","27235.59","27235.59","287","287","287","36489.215","36489.215","36489.215","287","287","287"
"106496","25923.207","25923.207","25923.207","298","298","298","28124.984","28124.984","28124.984","298","298","298","37893.2","37893.2","37893.2","298","298","298"
"110592","26696.832","26696.832","26696.832","309","309","309","29014.236","29014.236","29014.236","309","309","309","39296.746","39296.746","39296.746","309","309","309"
"114688","27470.06","27470.06","27470.06","320","320","320","29903.432","29903.432","29903.432","320","320","320","40700.465","40700.465","40700.465","320","320","320"
"118784","28243.182","28243.182","28243.182","331","331","331","30792.383","30792.383","30792.383","331","331","331","42103.965","42103.965","42103.965","332","332","332"
"122880","29016.77","29016.77","29016.77","342","342","342","31681.918","31681.918","31681.918","343","343","343","43507.617","43507.617","43507.617","343","343","343"
"126976","29790.121","29790.121","29790.121","353","353","353","32571.545","32571.545","32571.545","354","354","354","44911.33","44911.33","44911.33","354","354","354"
"131072","30563.416","30563.416","30563.416","365","365","365","33460.96","33460.96","33460.96","365","365","365","46314.844","46314.844","46314.844","366","366","366"
"135168","31336.805","31336.805","31336.805","376","376","376","34350.203","34350.203","34350.203","376","376","376","47718.414","47718.414","47718.414","377","377","377"
"139264","32110.105","32110.105","32110.105","387","387","387","35239.746","35239.746","35239.746","387","387","387","49121.88","49121.88","49121.88","389","389","389"
"143360","32883.44","32883.44","32883.44","398","398","398","36129.137","36129.137","36129.137","398","398","398","50525.348","50525.348","50525.348","400","400","400"
"147456","33656.812","33656.812","33656.812","409","409","409","37018.305","37018.305","37018.305","409","409","409","51929.086","51929.086","51929.086","411","411","411"
"151552","34429.594","34429.594","34429.594","420","420","420","37907.79","37907.79","37907.79","420","420","420","53331.812","53331.812","53331.812","422","422","422"
