"global_step","1765346631-grad-compression=accumulate-grads - charts/episodic_return","1765346631-grad-compression=accumulate-grads - charts/episodic_return__MIN","1765346631-grad-compression=accumulate-grads - charts/episodic_return__MAX","1765346631-grad-compression=accumulate-grads - _step","1765346631-grad-compression=accumulate-grads - _step__MIN","1765346631-grad-compression=accumulate-grads - _step__MAX","1765346490-grad-compression=accumulate-grads - charts/episodic_return","1765346490-grad-compression=accumulate-grads - charts/episodic_return__MIN","1765346490-grad-compression=accumulate-grads - charts/episodic_return__MAX","1765346490-grad-compression=accumulate-grads - _step","1765346490-grad-compression=accumulate-grads - _step__MIN","1765346490-grad-compression=accumulate-grads - _step__MAX","1765346213-grad-compression=None - charts/episodic_return","1765346213-grad-compression=None - charts/episodic_return__MIN","1765346213-grad-compression=None - charts/episodic_return__MAX","1765346213-grad-compression=None - _step","1765346213-grad-compression=None - _step__MIN","1765346213-grad-compression=None - _step__MAX"
"-3096","-52.727272","-52.727272","-52.727272","0","0","0","-52.727272","-52.727272","-52.727272","0","0","0","-52.727272","-52.727272","-52.727272","0","0","0"
"-2095","-60.451977","-60.451977","-60.451977","1","1","1","-60.451977","-60.451977","-60.451977","1","1","1","-60.451977","-60.451977","-60.451977","1","1","1"
"-1094","-54.248367","-54.248367","-54.248367","2","2","2","-54.248367","-54.248367","-54.248367","2","2","2","-54.248367","-54.248367","-54.248367","2","2","2"
"-93","-55.47945","-55.47945","-55.47945","3","3","3","-55.47945","-55.47945","-55.47945","3","3","3","-55.47945","-55.47945","-55.47945","3","3","3"
"908","-38.405796","-38.405796","-38.405796","11","11","11","-38.405796","-38.405796","-38.405796","11","11","11","-38.405796","-38.405796","-38.405796","11","11","11"
"1909","-37.956203","-37.956203","-37.956203","12","12","12","-37.956203","-37.956203","-37.956203","12","12","12","-37.956203","-37.956203","-37.956203","12","12","12"
"2910","-45.51282","-45.51282","-45.51282","13","13","13","-45.51282","-45.51282","-45.51282","13","13","13","-45.51282","-45.51282","-45.51282","13","13","13"
"3911","-42.446045","-42.446045","-42.446045","14","14","14","-42.446045","-42.446045","-42.446045","14","14","14","-42.446045","-42.446045","-42.446045","14","14","14"
"4912","-29.36803","-29.36803","-29.36803","22","22","22","-29.36803","-29.36803","-29.36803","22","22","22","-29.36803","-29.36803","-29.36803","22","22","22"
"5913","-52.38095","-52.38095","-52.38095","23","23","23","-52.38095","-52.38095","-52.38095","23","23","23","-52.38095","-52.38095","-52.38095","23","23","23"
"6914","-26.470589","-26.470589","-26.470589","24","24","24","-26.470589","-26.470589","-26.470589","24","24","24","-26.470589","-26.470589","-26.470589","24","24","24"
"7915","-38.98305","-38.98305","-38.98305","25","25","25","-38.98305","-38.98305","-38.98305","25","25","25","-38.98305","-38.98305","-38.98305","25","25","25"
"8916","-37.8882","-37.8882","-37.8882","33","33","33","-37.8882","-37.8882","-37.8882","33","33","33","-37.8882","-37.8882","-37.8882","33","33","33"
"9917","-8.296944","-8.296944","-8.296944","34","34","34","-8.296944","-8.296944","-8.296944","34","34","34","-8.296944","-8.296944","-8.296944","34","34","34"
"10918","-25.266905","-25.266905","-25.266905","35","35","35","-25.266905","-25.266905","-25.266905","35","35","35","-25.266905","-25.266905","-25.266905","35","35","35"
"11919","-36.619717","-36.619717","-36.619717","36","36","36","-36.619717","-36.619717","-36.619717","36","36","36","-36.619717","-36.619717","-36.619717","36","36","36"
"12920","-56.656345","-56.656345","-56.656345","44","44","44","-56.656345","-56.656345","-56.656345","44","44","44","-56.656345","-56.656345","-56.656345","44","44","44"
"13921","-52.21843","-52.21843","-52.21843","45","45","45","-52.21843","-52.21843","-52.21843","45","45","45","-52.21843","-52.21843","-52.21843","45","45","45"
"14922","-43.262413","-43.262413","-43.262413","46","46","46","-43.262413","-43.262413","-43.262413","46","46","46","-43.262413","-43.262413","-43.262413","46","46","46"
"15923","-62.962963","-62.962963","-62.962963","47","47","47","-62.962963","-62.962963","-62.962963","47","47","47","-62.962963","-62.962963","-62.962963","47","47","47"
"16924","-13.649025","-13.649025","-13.649025","55","55","55","-13.649025","-13.649025","-13.649025","55","55","55","-13.649025","-13.649025","-13.649025","55","55","55"
