"global_step","1772388591-grad-compression=accumulate-grads - charts/episodic_return","1772388591-grad-compression=accumulate-grads - charts/episodic_return__MIN","1772388591-grad-compression=accumulate-grads - charts/episodic_return__MAX","1772388591-grad-compression=accumulate-grads - _step","1772388591-grad-compression=accumulate-grads - _step__MIN","1772388591-grad-compression=accumulate-grads - _step__MAX","accumulate-grads_30kwarmup - charts/episodic_return","accumulate-grads_30kwarmup - charts/episodic_return__MIN","accumulate-grads_30kwarmup - charts/episodic_return__MAX","accumulate-grads_30kwarmup - _step","accumulate-grads_30kwarmup - _step__MIN","accumulate-grads_30kwarmup - _step__MAX","baseline - charts/episodic_return","baseline - charts/episodic_return__MIN","baseline - charts/episodic_return__MAX","baseline - _step","baseline - _step__MIN","baseline - _step__MAX"
"-3096","-52.727272","-52.727272","-52.727272","0","0","0","-52.727272","-52.727272","-52.727272","0","0","0","-52.727272","-52.727272","-52.727272","0","0","0"
"-2095","-60.451977","-60.451977","-60.451977","1","1","1","-60.451977","-60.451977","-60.451977","1","1","1","-60.451977","-60.451977","-60.451977","1","1","1"
"-1094","-54.248367","-54.248367","-54.248367","2","2","2","-54.248367","-54.248367","-54.248367","2","2","2","-54.248367","-54.248367","-54.248367","2","2","2"
"-93","-55.47945","-55.47945","-55.47945","3","3","3","-55.47945","-55.47945","-55.47945","3","3","3","-55.47945","-55.47945","-55.47945","3","3","3"
"908","-38.405796","-38.405796","-38.405796","11","11","11","-38.405796","-38.405796","-38.405796","11","11","11","-38.405796","-38.405796","-38.405796","11","11","11"
"1909","-41.60584","-41.60584","-41.60584","12","12","12","-41.60584","-41.60584","-41.60584","12","12","12","-41.60584","-41.60584","-41.60584","12","12","12"
"2910","-45.51282","-45.51282","-45.51282","13","13","13","-45.51282","-45.51282","-45.51282","13","13","13","-45.51282","-45.51282","-45.51282","13","13","13"
"3911","-46.043167","-46.043167","-46.043167","14","14","14","-46.043167","-46.043167","-46.043167","14","14","14","-46.043167","-46.043167","-46.043167","14","14","14"
"4912","-29.36803","-29.36803","-29.36803","22","22","22","-29.36803","-29.36803","-29.36803","22","22","22","-29.36803","-29.36803","-29.36803","22","22","22"
"5913","-48.97959","-48.97959","-48.97959","23","23","23","-48.97959","-48.97959","-48.97959","23","23","23","-48.97959","-48.97959","-48.97959","23","23","23"
"6914","-26.470589","-26.470589","-26.470589","24","24","24","-26.470589","-26.470589","-26.470589","24","24","24","-26.470589","-26.470589","-26.470589","24","24","24"
"7915","-38.98305","-38.98305","-38.98305","25","25","25","-38.98305","-38.98305","-38.98305","25","25","25","-38.98305","-38.98305","-38.98305","25","25","25"
"8916","-37.8882","-37.8882","-37.8882","33","33","33","-37.8882","-37.8882","-37.8882","33","33","33","-37.8882","-37.8882","-37.8882","33","33","33"
"9917","-8.296944","-8.296944","-8.296944","34","34","34","-8.296944","-8.296944","-8.296944","34","34","34","-8.296944","-8.296944","-8.296944","34","34","34"
"10918","-28.825623","-28.825623","-28.825623","35","35","35","-28.825623","-28.825623","-28.825623","35","35","35","-28.825623","-28.825623","-28.825623","35","35","35"
"11919","-43.661972","-43.661972","-43.661972","36","36","36","-43.661972","-43.661972","-43.661972","36","36","36","-43.661972","-43.661972","-43.661972","36","36","36"
"12920","-56.656345","-56.656345","-56.656345","44","44","44","-56.656345","-56.656345","-56.656345","44","44","44","-56.656345","-56.656345","-56.656345","44","44","44"
"13921","-48.80546","-48.80546","-48.80546","45","45","45","-48.80546","-48.80546","-48.80546","45","45","45","-48.80546","-48.80546","-48.80546","45","45","45"
"14922","-50.35461","-50.35461","-50.35461","46","46","46","-50.35461","-50.35461","-50.35461","46","46","46","-50.35461","-50.35461","-50.35461","46","46","46"
"15923","-66.049385","-66.049385","-66.049385","47","47","47","-66.049385","-66.049385","-66.049385","47","47","47","-66.049385","-66.049385","-66.049385","47","47","47"
"16924","-16.43454","-16.43454","-16.43454","55","55","55","-16.43454","-16.43454","-16.43454","55","55","55","-16.43454","-16.43454","-16.43454","55","55","55"
"17925","-46.23656","-46.23656","-46.23656","56","56","56","-46.23656","-46.23656","-46.23656","56","56","56","-46.23656","-46.23656","-46.23656","56","56","56"
