"global_step","1772388591-grad-compression=accumulate-grads - charts/network_transfer_in_mb","1772388591-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MIN","1772388591-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MAX","1772388591-grad-compression=accumulate-grads - _step","1772388591-grad-compression=accumulate-grads - _step__MIN","1772388591-grad-compression=accumulate-grads - _step__MAX","accumulate-grads_30kwarmup - charts/network_transfer_in_mb","accumulate-grads_30kwarmup - charts/network_transfer_in_mb__MIN","accumulate-grads_30kwarmup - charts/network_transfer_in_mb__MAX","accumulate-grads_30kwarmup - _step","accumulate-grads_30kwarmup - _step__MIN","accumulate-grads_30kwarmup - _step__MAX","baseline - charts/network_transfer_in_mb","baseline - charts/network_transfer_in_mb__MIN","baseline - charts/network_transfer_in_mb__MAX","baseline - _step","baseline - _step__MIN","baseline - _step__MAX"
"0","1393.8079","1393.8079","1393.8079","10","10","10","1400.07","1400.07","1400.07","10","10","10","1393.7455","1393.7455","1393.7455","10","10","10"
"4096","2787.5315","2787.5315","2787.5315","21","21","21","2800.1255","2800.1255","2800.1255","21","21","21","2787.4888","2787.4888","2787.4888","21","21","21"
"8192","4181.204","4181.204","4181.204","32","32","32","4200.5894","4200.5894","4200.5894","32","32","32","4183.8496","4183.8496","4183.8496","32","32","32"
"12288","5574.889","5574.889","5574.889","43","43","43","5600.8965","5600.8965","5600.8965","43","43","43","5583.3447","5583.3447","5583.3447","43","43","43"
"16384","6968.1543","6968.1543","6968.1543","54","54","54","7000.4106","7000.4106","7000.4106","54","54","54","6980.201","6980.201","6980.201","54","54","54"
"20480","8361.877","8361.877","8361.877","65","65","65","8400.964","8400.964","8400.964","65","65","65","8379.479","8379.479","8379.479","65","65","65"
"24576","9755.273","9755.273","9755.273","76","76","76","9801.313","9801.313","9801.313","76","76","76","9779.165","9779.165","9779.165","76","76","76"
"28672","11148.945","11148.945","11148.945","87","87","87","11201.316","11201.316","11201.316","87","87","87","11179.14","11179.14","11179.14","87","87","87"
"32768","12030.642","12030.642","12030.642","98","98","98","11971.53","11971.53","11971.53","98","98","98","12579.358","12579.358","12579.358","98","98","98"
"36864","12912.274","12912.274","12912.274","109","109","109","12742.203","12742.203","12742.203","109","109","109","13978.967","13978.967","13978.967","109","109","109"
"40960","13794.029","13794.029","13794.029","121","121","121","13512.191","13512.191","13512.191","121","121","121","15378.801","15378.801","15378.801","121","121","121"
"45056","14675.726","14675.726","14675.726","132","132","132","14282.603","14282.603","14282.603","132","132","132","16778.527","16778.527","16778.527","132","132","132"
"49152","15557.454","15557.454","15557.454","143","143","143","15052.814","15052.814","15052.814","143","143","143","18178.176","18178.176","18178.176","143","143","143"
"53248","16438.988","16438.988","16438.988","154","154","154","15822.893","15822.893","15822.893","154","154","154","19578.1","19578.1","19578.1","154","154","154"
"57344","17320.709","17320.709","17320.709","165","165","165","16592.771","16592.771","16592.771","165","165","165","20978.016","20978.016","20978.016","165","165","165"
"61440","18202.36","18202.36","18202.36","176","176","176","17363.385","17363.385","17363.385","176","176","176","22376.88","22376.88","22376.88","176","176","176"
"65536","19084.023","19084.023","19084.023","187","187","187","18133.822","18133.822","18133.822","187","187","187","23776.32","23776.32","23776.32","187","187","187"
"69632","19965.873","19965.873","19965.873","198","198","198","18903.959","18903.959","18903.959","198","198","198","25174.914","25174.914","25174.914","198","198","198"
"73728","20847.703","20847.703","20847.703","209","209","209","19674.139","19674.139","19674.139","210","210","210","26573.793","26573.793","26573.793","209","209","209"
"77824","21729.262","21729.262","21729.262","220","220","220","20444.178","20444.178","20444.178","221","221","221","27972.484","27972.484","27972.484","220","220","220"
"81920","22611.104","22611.104","22611.104","231","231","231","21214.562","21214.562","21214.562","232","232","232","29371.533","29371.533","29371.533","232","232","232"
"86016","23492.71","23492.71","23492.71","243","243","243","21984.758","21984.758","21984.758","243","243","243","30770.166","30770.166","30770.166","243","243","243"
"90112","24374.219","24374.219","24374.219","254","254","254","22754.85","22754.85","22754.85","255","255","255","32169","32169","32169","254","254","254"
"94208","25255.924","25255.924","25255.924","265","265","265","23524.967","23524.967","23524.967","266","266","266","33567.637","33567.637","33567.637","265","265","265"
"98304","26137.773","26137.773","26137.773","276","276","276","24294.953","24294.953","24294.953","277","277","277","34966.36","34966.36","34966.36","276","276","276"
