"global_step","90p gc + 0.95 decay - charts/network_transfer_in_mb","90p gc + 0.95 decay - charts/network_transfer_in_mb__MIN","90p gc + 0.95 decay - charts/network_transfer_in_mb__MAX","90p gc + 0.95 decay - _step","90p gc + 0.95 decay - _step__MIN","90p gc + 0.95 decay - _step__MAX","90p gc + 0.99 decay - charts/network_transfer_in_mb","90p gc + 0.99 decay - charts/network_transfer_in_mb__MIN","90p gc + 0.99 decay - charts/network_transfer_in_mb__MAX","90p gc + 0.99 decay - _step","90p gc + 0.99 decay - _step__MIN","90p gc + 0.99 decay - _step__MAX","1774140526-grad-compression=accumulate-grads - charts/network_transfer_in_mb","1774140526-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MIN","1774140526-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MAX","1774140526-grad-compression=accumulate-grads - _step","1774140526-grad-compression=accumulate-grads - _step__MIN","1774140526-grad-compression=accumulate-grads - _step__MAX","1774138806-grad-compression=None - charts/network_transfer_in_mb","1774138806-grad-compression=None - charts/network_transfer_in_mb__MIN","1774138806-grad-compression=None - charts/network_transfer_in_mb__MAX","1774138806-grad-compression=None - _step","1774138806-grad-compression=None - _step__MIN","1774138806-grad-compression=None - _step__MAX"
"0","1400.0547","1400.0547","1400.0547","10","10","10","1396.4911","1396.4911","1396.4911","10","10","10","1399.8805","1399.8805","1399.8805","10","10","10","1394.046","1394.046","1394.046","10","10","10"
"4096","2799.735","2799.735","2799.735","21","21","21","2795.736","2795.736","2795.736","21","21","21","2799.5537","2799.5537","2799.5537","21","21","21","2788.0378","2788.0378","2788.0378","21","21","21"
"8192","4199.74","4199.74","4199.74","32","32","32","4195.6016","4195.6016","4195.6016","32","32","32","4199.306","4199.306","4199.306","32","32","32","4182.0405","4182.0405","4182.0405","32","32","32"
"12288","5599.6636","5599.6636","5599.6636","43","43","43","5595.298","5595.298","5595.298","43","43","43","5598.9326","5598.9326","5598.9326","43","43","43","5576.048","5576.048","5576.048","43","43","43"
"16384","6999.2954","6999.2954","6999.2954","54","54","54","6994.8525","6994.8525","6994.8525","54","54","54","6998.783","6998.783","6998.783","54","54","54","6969.8276","6969.8276","6969.8276","54","54","54"
"20480","8399.019","8399.019","8399.019","65","65","65","8394.406","8394.406","8394.406","65","65","65","8398.758","8398.758","8398.758","65","65","65","8363.756","8363.756","8363.756","65","65","65"
"24576","9799.3","9799.3","9799.3","76","76","76","9794.009","9794.009","9794.009","76","76","76","9798.618","9798.618","9798.618","76","76","76","9758.472","9758.472","9758.472","76","76","76"
"28672","11199.07","11199.07","11199.07","87","87","87","11194.114","11194.114","11194.114","87","87","87","11198.65","11198.65","11198.65","87","87","87","11156.148","11156.148","11156.148","87","87","87"
"32768","12085.516","12085.516","12085.516","98","98","98","12080.416","12080.416","12080.416","98","98","98","12084.665","12084.665","12084.665","98","98","98","12555.276","12555.276","12555.276","98","98","98"
"36864","12971.639","12971.639","12971.639","109","109","109","12966.837","12966.837","12966.837","109","109","109","12970.858","12970.858","12970.858","109","109","109","13954.645","13954.645","13954.645","109","109","109"
"40960","13857.584","13857.584","13857.584","121","121","121","13853.16","13853.16","13853.16","121","121","121","13856.628","13856.628","13856.628","121","121","121","15353.796","15353.796","15353.796","121","121","121"
"45056","14743.573","14743.573","14743.573","132","132","132","14738.965","14738.965","14738.965","132","132","132","14742.609","14742.609","14742.609","132","132","132","16752.61","16752.61","16752.61","132","132","132"
"49152","15629.556","15629.556","15629.556","143","143","143","15624.933","15624.933","15624.933","143","143","143","15628.103","15628.103","15628.103","143","143","143","18151.754","18151.754","18151.754","143","143","143"
"53248","16515.541","16515.541","16515.541","154","154","154","16510.807","16510.807","16510.807","154","154","154","16514.13","16514.13","16514.13","154","154","154","19551.006","19551.006","19551.006","154","154","154"
"57344","17401.168","17401.168","17401.168","166","166","166","17396.895","17396.895","17396.895","165","165","165","17399.928","17399.928","17399.928","165","165","165","20950.664","20950.664","20950.664","165","165","165"
"61440","18287.123","18287.123","18287.123","177","177","177","18283.158","18283.158","18283.158","176","176","176","18285.94","18285.94","18285.94","176","176","176","22350.064","22350.064","22350.064","176","176","176"
"65536","19173.033","19173.033","19173.033","188","188","188","19169.197","19169.197","19169.197","187","187","187","19172.06","19172.06","19172.06","187","187","187","23749.17","23749.17","23749.17","187","187","187"
"69632","20058.812","20058.812","20058.812","199","199","199","20054.613","20054.613","20054.613","198","198","198","20057.89","20057.89","20057.89","198","198","198","25147.643","25147.643","25147.643","198","198","198"
