"global_step","90p gc + 0.95 decay - charts/episodic_return","90p gc + 0.95 decay - charts/episodic_return__MIN","90p gc + 0.95 decay - charts/episodic_return__MAX","90p gc + 0.95 decay - _step","90p gc + 0.95 decay - _step__MIN","90p gc + 0.95 decay - _step__MAX","90p gc + 0.99 decay - charts/episodic_return","90p gc + 0.99 decay - charts/episodic_return__MIN","90p gc + 0.99 decay - charts/episodic_return__MAX","90p gc + 0.99 decay - _step","90p gc + 0.99 decay - _step__MIN","90p gc + 0.99 decay - _step__MAX","1774140526-grad-compression=accumulate-grads - charts/episodic_return","1774140526-grad-compression=accumulate-grads - charts/episodic_return__MIN","1774140526-grad-compression=accumulate-grads - charts/episodic_return__MAX","1774140526-grad-compression=accumulate-grads - _step","1774140526-grad-compression=accumulate-grads - _step__MIN","1774140526-grad-compression=accumulate-grads - _step__MAX","1774138806-grad-compression=None - charts/episodic_return","1774138806-grad-compression=None - charts/episodic_return__MIN","1774138806-grad-compression=None - charts/episodic_return__MAX","1774138806-grad-compression=None - _step","1774138806-grad-compression=None - _step__MIN","1774138806-grad-compression=None - _step__MAX"
"-3096","-52.727272","-52.727272","-52.727272","0","0","0","-52.727272","-52.727272","-52.727272","0","0","0","-52.727272","-52.727272","-52.727272","0","0","0","-52.727272","-52.727272","-52.727272","0","0","0"
"-2095","-60.451977","-60.451977","-60.451977","1","1","1","-60.451977","-60.451977","-60.451977","1","1","1","-60.451977","-60.451977","-60.451977","1","1","1","-60.451977","-60.451977","-60.451977","1","1","1"
"-1094","-54.248367","-54.248367","-54.248367","2","2","2","-54.248367","-54.248367","-54.248367","2","2","2","-54.248367","-54.248367","-54.248367","2","2","2","-54.248367","-54.248367","-54.248367","2","2","2"
"-93","-55.47945","-55.47945","-55.47945","3","3","3","-55.47945","-55.47945","-55.47945","3","3","3","-55.47945","-55.47945","-55.47945","3","3","3","-55.47945","-55.47945","-55.47945","3","3","3"
"908","-38.405796","-38.405796","-38.405796","11","11","11","-38.405796","-38.405796","-38.405796","11","11","11","-38.405796","-38.405796","-38.405796","11","11","11","-38.405796","-38.405796","-38.405796","11","11","11"
"1909","-41.60584","-41.60584","-41.60584","12","12","12","-41.60584","-41.60584","-41.60584","12","12","12","-41.60584","-41.60584","-41.60584","12","12","12","-41.60584","-41.60584","-41.60584","12","12","12"
"2910","-45.51282","-45.51282","-45.51282","13","13","13","-45.51282","-45.51282","-45.51282","13","13","13","-45.51282","-45.51282","-45.51282","13","13","13","-45.51282","-45.51282","-45.51282","13","13","13"
"3911","-46.043167","-46.043167","-46.043167","14","14","14","-46.043167","-46.043167","-46.043167","14","14","14","-46.043167","-46.043167","-46.043167","14","14","14","-46.043167","-46.043167","-46.043167","14","14","14"
"4912","-29.36803","-29.36803","-29.36803","22","22","22","-29.36803","-29.36803","-29.36803","22","22","22","-29.36803","-29.36803","-29.36803","22","22","22","-29.36803","-29.36803","-29.36803","22","22","22"
"5913","-48.97959","-48.97959","-48.97959","23","23","23","-48.97959","-48.97959","-48.97959","23","23","23","-48.97959","-48.97959","-48.97959","23","23","23","-48.97959","-48.97959","-48.97959","23","23","23"
"6914","-26.470589","-26.470589","-26.470589","24","24","24","-26.470589","-26.470589","-26.470589","24","24","24","-26.470589","-26.470589","-26.470589","24","24","24","-26.470589","-26.470589","-26.470589","24","24","24"
"7915","-38.98305","-38.98305","-38.98305","25","25","25","-38.98305","-38.98305","-38.98305","25","25","25","-38.98305","-38.98305","-38.98305","25","25","25","-38.98305","-38.98305","-38.98305","25","25","25"
"8916","-37.8882","-37.8882","-37.8882","33","33","33","-37.8882","-37.8882","-37.8882","33","33","33","-37.8882","-37.8882","-37.8882","33","33","33","-37.8882","-37.8882","-37.8882","33","33","33"
"9917","-8.296944","-8.296944","-8.296944","34","34","34","-8.296944","-8.296944","-8.296944","34","34","34","-8.296944","-8.296944","-8.296944","34","34","34","-8.296944","-8.296944","-8.296944","34","34","34"
"10918","-28.825623","-28.825623","-28.825623","35","35","35","-28.825623","-28.825623","-28.825623","35","35","35","-28.825623","-28.825623","-28.825623","35","35","35","-28.825623","-28.825623","-28.825623","35","35","35"
"11919","-43.661972","-43.661972","-43.661972","36","36","36","-43.661972","-43.661972","-43.661972","36","36","36","-43.661972","-43.661972","-43.661972","36","36","36","-43.661972","-43.661972","-43.661972","36","36","36"
"12920","-56.656345","-56.656345","-56.656345","44","44","44","-56.656345","-56.656345","-56.656345","44","44","44","-56.656345","-56.656345","-56.656345","44","44","44","-56.656345","-56.656345","-56.656345","44","44","44"
"13921","-48.80546","-48.80546","-48.80546","45","45","45","-48.80546","-48.80546","-48.80546","45","45","45","-48.80546","-48.80546","-48.80546","45","45","45","-48.80546","-48.80546","-48.80546","45","45","45"
"14922","-50.35461","-50.35461","-50.35461","46","46","46","-50.35461","-50.35461","-50.35461","46","46","46","-50.35461","-50.35461","-50.35461","46","46","46","-50.35461","-50.35461","-50.35461","46","46","46"
"15923","-66.049385","-66.049385","-66.049385","47","47","47","-66.049385","-66.049385","-66.049385","47","47","47","-66.049385","-66.049385","-66.049385","47","47","47","-66.049385","-66.049385","-66.049385","47","47","47"
"16924","-16.43454","-16.43454","-16.43454","55","55","55","-16.43454","-16.43454","-16.43454","55","55","55","-16.43454","-16.43454","-16.43454","55","55","55","-16.43454","-16.43454","-16.43454","55","55","55"
"17925","-46.23656","-46.23656","-46.23656","56","56","56","-46.23656","-46.23656","-46.23656","56","56","56","-46.23656","-46.23656","-46.23656","56","56","56","-46.23656","-46.23656","-46.23656","56","56","56"
"18926","-62.5","-62.5","-62.5","57","57","57","-62.5","-62.5","-62.5","57","57","57","-62.5","-62.5","-62.5","57","57","57","-62.5","-62.5","-62.5","57","57","57"
"19927","-41.55844","-41.55844","-41.55844","58","58","58","-41.55844","-41.55844","-41.55844","58","58","58","-41.55844","-41.55844","-41.55844","58","58","58","-41.55844","-41.55844","-41.55844","58","58","58"
"20928","-54.372623","-54.372623","-54.372623","66","66","66","-54.372623","-54.372623","-54.372623","66","66","66","-54.372623","-54.372623","-54.372623","66","66","66","-54.372623","-54.372623","-54.372623","66","66","66"
"21929","-43.143814","-43.143814","-43.143814","67","67","67","-43.143814","-43.143814","-43.143814","67","67","67","-43.143814","-43.143814","-43.143814","67","67","67","-43.143814","-43.143814","-43.143814","67","67","67"
"22930","-75.30864","-75.30864","-75.30864","68","68","68","-75.30864","-75.30864","-75.30864","68","68","68","-75.30864","-75.30864","-75.30864","68","68","68","-75.30864","-75.30864","-75.30864","68","68","68"
"23931","-60.912052","-60.912052","-60.912052","69","69","69","-60.912052","-60.912052","-60.912052","69","69","69","-60.912052","-60.912052","-60.912052","69","69","69","-60.912052","-60.912052","-60.912052","69","69","69"
"24932","-22.077923","-22.077923","-22.077923","77","77","77","-22.077923","-22.077923","-22.077923","77","77","77","-22.077923","-22.077923","-22.077923","77","77","77","-22.077923","-22.077923","-22.077923","77","77","77"
"25933","-61.805557","-61.805557","-61.805557","78","78","78","-61.805557","-61.805557","-61.805557","78","78","78","-61.805557","-61.805557","-61.805557","78","78","78","-61.805557","-61.805557","-61.805557","78","78","78"
"26934","-39.501778","-39.501778","-39.501778","79","79","79","-39.501778","-39.501778","-39.501778","79","79","79","-39.501778","-39.501778","-39.501778","79","79","79","-39.501778","-39.501778","-39.501778","79","79","79"
"27935","-34.7181","-34.7181","-34.7181","80","80","80","-34.7181","-34.7181","-34.7181","80","80","80","-34.7181","-34.7181","-34.7181","80","80","80","-34.7181","-34.7181","-34.7181","80","80","80"
"28936","-52.522255","-52.522255","-52.522255","88","88","88","-52.522255","-52.522255","-52.522255","88","88","88","-52.522255","-52.522255","-52.522255","88","88","88","-52.522255","-52.522255","-52.522255","88","88","88"
"29937","19.631903","19.631903","19.631903","89","89","89","19.631903","19.631903","19.631903","89","89","89","19.631903","19.631903","19.631903","89","89","89","19.631903","19.631903","19.631903","89","89","89"
"30938","-45.454544","-45.454544","-45.454544","90","90","90","-45.454544","-45.454544","-45.454544","90","90","90","-45.454544","-45.454544","-45.454544","90","90","90","-45.454544","-45.454544","-45.454544","90","90","90"
"31939","-71.0611","-71.0611","-71.0611","91","91","91","-71.0611","-71.0611","-71.0611","91","91","91","-71.0611","-71.0611","-71.0611","91","91","91","-71.0611","-71.0611","-71.0611","91","91","91"
"32940","-33.554817","-33.554817","-33.554817","99","99","99","-33.554817","-33.554817","-33.554817","99","99","99","-33.554817","-33.554817","-33.554817","99","99","99","-33.554817","-33.554817","-33.554817","99","99","99"
"33941","-66.19718","-66.19718","-66.19718","100","100","100","-63.380283","-63.380283","-63.380283","100","100","100","-66.19718","-66.19718","-66.19718","100","100","100","-63.380283","-63.380283","-63.380283","100","100","100"
"34942","-25.423729","-25.423729","-25.423729","101","101","101","-28.813559","-28.813559","-28.813559","101","101","101","-25.423729","-25.423729","-25.423729","101","101","101","-28.813559","-28.813559","-28.813559","101","101","101"
"35943","-20.2454","-20.2454","-20.2454","102","102","102","-29.447853","-29.447853","-29.447853","102","102","102","-23.312883","-23.312883","-23.312883","102","102","102","-29.447853","-29.447853","-29.447853","102","102","102"
"36944","-16.083916","-16.083916","-16.083916","110","110","110","-2.097902","-2.097902","-2.097902","110","110","110","-9.090909","-9.090909","-9.090909","110","110","110","-5.5944057","-5.5944057","-5.5944057","110","110","110"
"37945","-70.26022","-70.26022","-70.26022","111","111","111","-70.26022","-70.26022","-70.26022","111","111","111","-70.26022","-70.26022","-70.26022","111","111","111","-70.26022","-70.26022","-70.26022","111","111","111"
"38908","","","","","","","-175.48145","-175.48145","-175.48145","112","112","112","","","","","","","","","","","",""
"38946","-75.945015","-75.945015","-75.945015","112","112","112","","","","","","","-79.38145","-79.38145","-79.38145","112","112","112","-79.38145","-79.38145","-79.38145","112","112","112"
"39909","","","","","","","-35.064934","-35.064934","-35.064934","113","113","113","","","","","","","","","","","",""
"39947","-41.55844","-41.55844","-41.55844","113","113","113","","","","","","","-41.55844","-41.55844","-41.55844","113","113","113","-44.805195","-44.805195","-44.805195","113","113","113"
"40910","","","","","","","-73.154366","-73.154366","-73.154366","114","114","114","","","","","","","","","","","",""
"40948","-66.442955","-66.442955","-66.442955","114","114","114","","","","","","","-66.442955","-66.442955","-66.442955","114","114","114","-69.79866","-69.79866","-69.79866","114","114","114"
"41911","","","","","","","-66.86747","-66.86747","-66.86747","122","122","122","","","","","","","","","","","",""
"41949","-69.87952","-69.87952","-69.87952","122","122","122","","","","","","","-66.86747","-66.86747","-66.86747","122","122","122","-69.87952","-69.87952","-69.87952","122","122","122"
"42912","","","","","","","-67.2619","-67.2619","-67.2619","123","123","123","","","","","","","","","","","",""
"42950","-73.21429","-73.21429","-73.21429","123","123","123","","","","","","","-73.21429","-73.21429","-73.21429","123","123","123","-76.190475","-76.190475","-76.190475","123","123","123"
"43913","","","","","","","-49.152542","-49.152542","-49.152542","124","124","124","","","","","","","","","","","",""
"43951","-66.10169","-66.10169","-66.10169","124","124","124","","","","","","","-66.10169","-66.10169","-66.10169","124","124","124","-66.10169","-66.10169","-66.10169","124","124","124"
"44914","","","","","","","-31.034483","-31.034483","-31.034483","125","125","125","","","","","","","","","","","",""
"44952","-55.172413","-55.172413","-55.172413","125","125","125","","","","","","","-58.62069","-58.62069","-58.62069","125","125","125","-58.62069","-58.62069","-58.62069","125","125","125"
"45915","","","","","","","-60.714287","-60.714287","-60.714287","133","133","133","","","","","","","","","","","",""
"45953","-60.714287","-60.714287","-60.714287","133","133","133","","","","","","","-46.42857","-46.42857","-46.42857","133","133","133","-60.714287","-60.714287","-60.714287","133","133","133"
"46916","","","","","","","-32.83582","-32.83582","-32.83582","134","134","134","","","","","","","","","","","",""
"46954","-40.298508","-40.298508","-40.298508","134","134","134","","","","","","","-14.179105","-14.179105","-14.179105","134","134","134","-32.83582","-32.83582","-32.83582","134","134","134"
"47785","-151.94025","-151.94025","-151.94025","135","135","135","","","","","","","","","","","","","","","","","",""
"47917","","","","","","","-69.040245","-69.040245","-69.040245","135","135","135","","","","","","","","","","","",""
"47955","","","","","","","","","","","","","-72.13622","-72.13622","-72.13622","135","135","135","-75.2322","-75.2322","-75.2322","135","135","135"
"48786","-74.763405","-74.763405","-74.763405","136","136","136","","","","","","","","","","","","","","","","","",""
"48918","","","","","","","-52.68139","-52.68139","-52.68139","136","136","136","","","","","","","","","","","",""
"48956","","","","","","","","","","","","","-58.990536","-58.990536","-58.990536","136","136","136","-58.990536","-58.990536","-58.990536","136","136","136"
"49787","-31.818182","-31.818182","-31.818182","144","144","144","","","","","","","","","","","","","","","","","",""
"49919","","","","","","","-54.545456","-54.545456","-54.545456","144","144","144","","","","","","","","","","","",""
"49957","","","","","","","","","","","","","-74.02597","-74.02597","-74.02597","144","144","144","-70.77922","-70.77922","-70.77922","144","144","144"
"50788","2.4590163","2.4590163","2.4590163","145","145","145","","","","","","","","","","","","","","","","","",""
"50920","","","","","","","-30.32787","-30.32787","-30.32787","145","145","145","","","","","","","","","","","",""
"50958","","","","","","","","","","","","","-42.62295","-42.62295","-42.62295","145","145","145","-34.42623","-34.42623","-34.42623","145","145","145"
"51789","-72.60274","-72.60274","-72.60274","146","146","146","","","","","","","","","","","","","","","","","",""
"51921","","","","","","","-28.082191","-28.082191","-28.082191","146","146","146","","","","","","","","","","","",""
"51959","","","","","","","","","","","","","-62.328766","-62.328766","-62.328766","146","146","146","-28.082191","-28.082191","-28.082191","146","146","146"
"52790","-36.708862","-36.708862","-36.708862","147","147","147","","","","","","","","","","","","","","","","","",""
"52922","","","","","","","-27.215189","-27.215189","-27.215189","147","147","147","","","","","","","","","","","",""
"52960","","","","","","","","","","","","","-20.886076","-20.886076","-20.886076","147","147","147","-46.20253","-46.20253","-46.20253","147","147","147"
"53791","-27.33564","-27.33564","-27.33564","155","155","155","","","","","","","","","","","","","","","","","",""
"53923","","","","","","","-41.17647","-41.17647","-41.17647","155","155","155","","","","","","","","","","","",""
"53961","","","","","","","","","","","","","-58.47751","-58.47751","-58.47751","155","155","155","-48.096886","-48.096886","-48.096886","155","155","155"
"54564","-138.90555","-138.90555","-138.90555","156","156","156","","","","","","","","","","","","","","","","","",""
"54916","","","","","","","","","","","","","-132.8","-132.8","-132.8","156","156","156","","","","","",""
"54924","","","","","","","-23.61111","-23.61111","-23.61111","156","156","156","","","","","","","","","","","",""
"54962","","","","","","","","","","","","","","","","","","","-30.555555","-30.555555","-30.555555","156","156","156"
