global_step,1776624639-grad-compression=none - charts/episodic_return,1776628684-grad-compression=accumulate-grads - charts/episodic_return,1776636519-grad-compression=accumulate-grads - charts/episodic_return
-3096,-49.090908,-49.090908,-49.090908
-2095,-57.627117,-57.627117,-57.627117
-1094,-54.248367,-54.248367,-54.248367
-93,-48.63014,-48.63014,-48.63014
908,-45.652172,-45.652172,-45.652172
1909,-45.255474,-45.255474,-45.255474
2910,-48.71795,-48.71795,-48.71795
3911,-42.446045,-42.446045,-42.446045
4912,-33.085503,-33.085503,-33.085503
5913,-31.97279,-31.97279,-31.97279
6914,-30.147058,-30.147058,-30.147058
7915,-32.20339,-32.20339,-32.20339
8916,-40.99379,-40.99379,-40.99379
9917,-30.131004,-30.131004,-30.131004
10918,-28.825623,-28.825623,-28.825623
11919,-50.704224,-50.704224,-50.704224
12920,-44.272446,-44.272446,-44.272446
13921,-55.6314,-55.6314,-55.6314
14922,-25.531916,-25.531916,-25.531916
15923,-56.790123,-56.790123,-56.790123
16924,-49.860725,-49.860725,-49.860725
17925,-67.741936,-67.741936,-67.741936
18926,-56.25,-56.25,-56.25
19927,-61.03896,-61.03896,-61.03896
20928,-20.152092,-20.152092,-20.152092
21929,-39.79933,-39.79933,-39.79933
22930,-75.30864,-75.30864,-75.30864
23931,-51.140064,-51.140064,-51.140064
24932,-57.79221,-57.79221,-57.79221
25933,-72.22222,-72.22222,-72.22222
26934,-67.97153,-67.97153,-67.97153
27935,-55.489613,-55.489613,-55.489613
28936,-76.26113,-76.26113,-76.26113
29937,-63.190186,-63.190186,-63.190186
30938,-63.636364,-63.636364,-63.636364
31939,-48.553055,-48.553055,-48.553055
32940,-73.42193,-73.42193,-73.42193
33941,-77.46479,-77.46479,-77.46479
34942,-69.49152,-69.49152,-69.49152
35943,-63.190186,-63.190186,-63.190186
36944,-68.53147,-61.53846,-65.034966
37945,-66.54275,-70.26022,-66.54275
38946,-72.50859,-75.945015,-75.945015
39947,-67.53247,-70.77922,-70.77922
40948,-79.86577,-59.731544,-76.51007
41949,-81.92771,-81.92771,-81.92771
42950,-76.190475,-67.2619,-61.309525
43951,-76.27119,-59.322033,-55.932205
44952,-79.31035,-68.965515,-68.965515
45953,-71.42857,-71.42857,-67.85714
46954,-73.8806,-66.41791,-70.149254
47955,-69.040245,-65.944275,-62.848297
48956,-77.917984,-81.072556,-77.917984
49957,-74.02597,-61.03896,-61.03896
50958,-63.114754,-50.81967,-59.01639
51959,-79.45206,-62.328766,-69.178085
52960,-74.68355,-71.51899,-71.51899
53961,-75.77855,-79.238754,-75.77855
54962,-79.166664,-58.333332,-58.333332
55963,-73.8806,-55.22388,-58.955223
56964,-73.59736,-63.69637,-66.9967
57965,-78.49462,-78.49462,-71.326164
58966,-71.53025,-64.41281,-71.53025
59967,-71.6312,-60.99291,-57.446808
60968,-70.588234,-77.94118,-59.558823
61969,-60.474308,-60.474308,-40.711464
62970,-80.645164,-80.645164,-61.29032
63971,-77.04918,-70.491806,-67.21311
64972,-79.238754,-79.238754,-79.238754
65669,,,-144.4104
65973,-78.49462,-78.49462,
66670,,,-48.90511
66974,-63.50365,-67.15328,
67671,,,-70.39474
67975,-80.26316,-57.236843,
68244,,,-135.59462
68976,-71.326164,-56.989246,
69245,,,-77.917984
69977,-77.917984,-77.917984,
70246,,,-36.24161
70978,-79.86577,-49.66443,
71247,,,-66.442955
71979,-63.08725,-73.154366,
72070,,,-158.04501
72980,-72.50859,-51.890034,
73071,,,-63.963963
73981,-78.97898,-45.945946,
74072,,,-68.25397
74982,-36.50794,-68.25397,
75073,,,-21.052631
75983,-73.68421,-73.68421,
76074,,,-46.360153
76984,-50.19157,-65.51724,
77075,,,-55.284554
77985,-55.284554,-55.284554,
78076,,,-36.666668
78986,-76.666664,-70,
79077,,,-55.71956
79987,-70.479706,-37.26937,
80078,,,-47.019867
80988,-76.82119,-63.57616,
81079,,,-65.034966
81989,-75.524475,-58.041958,
82080,,,-35.153584
82990,-65.87031,-52.21843,
83081,,,-51.851852
83991,-59.25926,-74.07407,
84082,,,-39.873417
84992,-65.18987,-71.51899,
85083,,,27.795527
85993,-64.85623,-55.271564,
86084,,,-73.28244
86994,-73.28244,-69.46565,
87085,,,-4.4117646
87995,-33.82353,-44.85294,
88086,,,-15.094339
88996,-77.98742,-49.685535,
89087,,,-53.488373
89997,-63.45515,-63.45515,
90088,,,-39.285713
90998,-60.714287,-71.42857,
91089,,,-22.839506
91999,-56.790123,-72.22222,
92090,,,-49.044586
93000,-33.121017,-52.229298,
93091,,,-57.894737
94001,-33.333332,-19.298246,
94092,,,-36.708862
95002,-65.18987,-33.544304,
95093,,,-56.989246
96003,-78.49462,-49.82079,
96094,,,-34.615383
97004,-34.615383,-65.38461,
97095,,,-72.60274
98005,-79.45206,-72.60274,
98096,,,-33.085503
99006,-73.97769,-55.390335,
99097,,,48.387096
100007,-25.806452,-38.70968,
100098,,,-11.864407
101008,-8.474576,-28.813559,
101099,,,-63.81579
102009,-57.236843,-50.657894,
102100,,,-66.666664
103010,130,-60,
103101,,,67.25979
104011,-11.032028,74.37723,
104102,,,-64.91228
105012,-22.807018,-22.807018,
105103,,,-28.338762
106013,-34.85342,-70.68404,
106104,,,-48.275864
106809,-155.26207,,
107014,,3.4482758,
107105,,,-54.225353
107810,-75.35211,,
108015,,-64.788734,
108106,,,-66.9967
108811,-43.89439,,
109016,,-43.89439,
109072,,,-172.75136
109812,-35.81081,,
110017,,75.675674,
110073,,,-76.58863
110813,-56.52174,,
111018,,-3.0100334,
111074,,,-9.090909
111814,-16.363636,,
112019,,-5.4545455,
112075,,,-36.32959
112815,49.812733,,
113020,,68.53933,
113076,,,-74.545456
113816,16.363636,,
114021,,136.36363,
114077,,,-44.827587
114774,-88.703445,,
114867,,,-152.6562
115022,,17.241379,
115775,73.202614,,
115868,,,-4.255319
116023,,-21.568628,
116776,151.77306,,
116869,,,-35.114502
117024,,204.96454,
117777,6.8702292,,
117870,,,-1.8987342
118025,,37.40458,
118778,-62.02532,,
118871,,,-75.08897
119026,,254.43037,
119779,17.437723,,
119872,,,-42.67516
120027,,24.55516,
120780,119.745224,,
120873,,,34.69388
121028,,-1.2738854,
121781,67.34694,,
121874,,,-22.48062
122029,,83.67347,
122782,-26.356588,,
122875,,,-43.037975
123030,,78.29457,
123783,29.746836,,
123876,,,-3.5369775
124031,,39.240505,
124784,-29.26045,,
124877,,,-72.50859
125032,,-6.7524114,
125785,3.0927835,,
125878,,,-70.26022
126033,,37.457047,
126786,63.56877,,
126879,,,-30.232557
127034,,15.241635,
127787,-76.74419,,
127880,,,-35.59322
128035,,185.71428,
128788,79.66102,,
128881,,,19.047619
129036,,62.711864,
129789,49.659863,,
129882,,,-59.752323
130037,,206.12245,
130790,-25.696594,,
130883,,,-40
131038,,39.318886,
131791,-23.333334,,
131835,,,-128.33333
132039,,86.666664,
132792,166.66667,,
132836,,,-72.413795
133040,,47.36842,
133793,100,,
133837,,,30.29316
134041,,68.965515,
134794,-34.85342,,
134838,,,-60.784313
135042,,206.18892,
135795,318.30066,,
135839,,,11.111111
136043,,79.73856,
136796,18.518518,,
136840,,,12.582782
137044,,55.555557,
137797,19.205297,,
137841,,,64.91228
138045,,15.89404,
138485,,,-72.6507
138798,159.64912,,
139046,,92.98245,
139486,,,21.8638
139799,329.57745,,
140047,,153.52113,
140487,,,-27.899687
140800,-31.899641,,
141048,,193.90681,
141488,,,148.3871
141801,113.166145,,
142049,,47.335423,
142489,,,-18.149466
142802,61.29032,,
143050,,180.64516,
143490,,,-17.525774
143803,202.4911,,
144051,,202.4911,
144491,,,-23.61111
144804,219.58763,,
145052,,-10.652921,
145492,,,-31.654676
145805,132.63889,,
146053,,118.75,
146493,,,-47.712418
146806,252.51799,,
147054,,205.7554,
147494,,,8.474576
147807,-57.51634,,
148055,,213.7255,
148495,,,-41.979523
148808,-35.59322,,
149056,,316.94916,
149496,,,91.17647
149809,254.9488,,
150057,,241.29692,
150497,,,42.857143
150810,2.9411764,,
151058,,293.38235,
151498,,,-47.712418
151811,263.09525,,
152059,,60.714287,
152499,,,-34.42623
152812,76.47059,,
153060,,181.04575,
153500,,,42.372883
153813,372.13113,,
154061,,326.22952,
154501,,,95.87629
154814,191.52542,,
155062,,-38.98305,
155502,,,163.1579
155815,161.16838,,
156063,,89.00343,
156503,,,52.34375
156816,338.5965,,
157064,,194.73685,
157504,,,15.89404
157817,224.21875,,
158065,,181.25,
158505,,,17.647058
158818,231.12582,,
159066,,181.45695,
159506,,,-38.11075
159819,200.3096,,
160067,,79.56657,
160507,,,160.60606
160820,193.1596,,
161068,,98.69707,
161508,,,58.91473
161821,184.84848,,
162069,,-21.212122,
162509,,,-31.15942
162822,105.42635,,
163070,,256.58914,
163510,,,77.51479
163823,273.18842,,
164071,,15.942029,
164511,,,203.37079
164824,376.33136,,
165072,,160.35503,
165512,,,-19.35484
165825,195.88014,,
166073,,117.22846,
166513,,,45.098038
166826,151.6129,,
167074,,-58.064518,
167514,,,66.06498
167827,150.9804,,
168075,,56.862743,
168515,,,29.15129
168828,239.35017,,
169076,,66.06498,
169516,,,45.695366
169829,431.36533,,
170077,,280.0738,
170517,,,-17.647058
170830,317.21854,,
171078,,78.807945,
171518,,,88.92508
171831,194.11765,,
172079,,150,
172519,,,158.74126
172832,141.04234,,
173080,,75.89577,
173520,,,50.877193
173833,193.7063,,
174081,,127.27273,
174138,,,-4.973494
174834,335.0877,,
175082,,198.24562,
175139,,,176.66667
175835,305.6225,,
176083,,345.78314,
176140,,,283.87097
176836,436.66666,,
177084,,190,
177141,,,90.29851
177837,535.4839,,
178085,,303.2258,
178142,,,131.31673
178838,325.37314,,
179086,,329.1045,
179143,,,143.63637
179839,394.66193,,
180087,,280.78293,
180144,,,97.231834
180840,256.36365,,
181088,,278.18182,
181145,,,149.08424
181814,,,-63.14013
181841,661.24567,,
182089,,263.3218,
182815,,,62.576687
182842,449.45056,,
183090,,134.43224,
183816,,,320.71198
183843,116.828476,,
184091,,97.411,
184817,,,99.203186
184844,396.93253,,
185092,,123.926384,
185818,,,82.38994
185845,469.57928,,
186093,,298.05826,
186819,,,84.95298
186846,238.64542,,
187094,,489.64145,
187820,,,67.83217
187847,267.92453,,
188095,,157.86163,
188821,,,170.75812
188848,210.34483,,
189096,,-21.630095,
189822,,,162.97578
189849,739.1608,,
190097,,162.23776,
190823,,,259.6838
190850,452.34656,,
191098,,188.80867,
191824,,,70.21277
191851,467.47406,,
192099,,131.83391,
192825,,,68.35017
192852,761.6601,,
193100,,188.53755,
193826,,,144.29967
193853,371.6312,,
194101,,478.0142,
194827,,,183.82838
194854,472.39056,,
195102,,280.47137,
195828,,,131.83391
195855,388.59933,,
196103,,255.04886,
196829,,,203.44827
196856,395.0495,,
197104,,286.1386,
197830,,,314.14142
197857,564.35986,,
198105,,207.95848,
198831,,,458.13953
198858,668.9655,,
199106,,96.55173,
199832,,,351.85184
199859,536.36365,,
200107,,546.46466,
200833,,,246.3035
200860,587.70764,,
201108,,657.4751,
201834,,,349.5114
201861,744.44446,,
202109,,355.55554,
202835,,,247.22223
202862,347.47083,,
203110,,121.78989,
203836,,,435.94772
203863,277.85016,,
204111,,98.69707,
204837,,,344.8052
204864,205.55556,,
205112,,236.80556,
205543,-7.569281,,
205838,,,477.28708
206113,,569.93463,
206544,387.013,,
206839,,,170.46263
207114,,182.46753,
207287,,,-15.150162
207545,95.583595,,
208115,,392.11356,
208288,,,108.05369
208546,440.92526,,
209116,,67.25979,
209289,,,51.612904
209547,220.38835,,
210117,,107.11974,
210290,,,169.34984
210548,202.01343,,
211118,,262.4161,
211125,16.693548,,
211291,,,667.60565
212119,,38.70968,
212126,519.19507,,
212292,,,222.34433
213120,,451.0836,
213127,473.94366,,
213293,,,381.84818
214121,,188.73239,
