global_step,surprise,baseline,gradient_stats
-3096,-49.090908,-49.090908,
-2095,-57.627117,-57.627117,
-1094,-54.248367,-54.248367,
-93,-48.63014,-48.63014,
908,-45.652172,-45.652172,
1000,,,-45.454544
1909,-45.255474,-45.255474,
2001,,,-60.451977
2910,-48.71795,-48.71795,
3002,,,-57.51634
3911,-42.446045,-42.446045,
4003,,,-52.054794
4912,-44.23792,-44.23792,
5004,,,-45.652172
5913,-31.97279,-31.97279,
6005,,,-45.255474
6914,-30.147058,-30.147058,
7006,,,-48.71795
7915,-28.813559,-28.813559,
8007,,,-42.446045
8916,-62.732918,-62.732918,
9008,,,-59.107807
9917,-21.39738,-21.39738,
10009,,,-42.176872
10918,-21.708185,-21.708185,
11010,,,-48.52941
11919,-47.183098,-47.183098,
12011,,,-42.372883
12920,-34.98452,-34.98452,
13012,,,-53.41615
13921,-28.327644,-28.327644,
14013,,,-56.33188
14922,-60.99291,-60.99291,
15014,,,-50.177937
15923,-19.753086,-19.753086,
16015,,,-47.183098
16924,-30.362118,-30.362118,
17016,,,-56.656345
17925,-21.146954,-21.146954,
18017,,,-69.28328
18926,-37.5,-37.5,
19018,,,-68.085106
19927,-44.805195,-44.805195,
20019,,,-62.962963
20928,-35.361217,-35.361217,
21020,,,-72.144844
21929,-53.177258,-53.177258,
22021,,,-74.91039
22930,-66.049385,-66.049385,
23022,,,-68.75
23931,-47.882736,-47.882736,
24023,,,-70.77922
24932,-25.324675,-25.324675,
25024,,,-65.779465
25933,-54.86111,-54.86111,
26025,,,-63.2107
26934,-43.060497,-43.060497,
27026,,,-72.22222
27935,-61.42433,-61.42433,
28027,,,-70.68404
28936,39.465874,39.465874,
29028,,,-67.53247
29937,-60.1227,-60.1227,
30029,,,-68.75
30938,-52.727272,-52.727272,
31030,,,-71.53025
31939,-67.84566,-67.84566,
32031,,,-76.26113
32940,-53.488373,-56.81063,
33032,,,-73.29377
33941,-46.478874,-46.478874,
34033,,,-69.32516
34942,-66.10169,-66.10169,
35034,,,-67.27273
35943,-69.32516,-72.39264,
36035,,,-67.84566
36944,-65.034966,-65.034966,
37036,,,-73.42193
37945,-51.672863,-51.672863,
38037,,,-80.28169
38946,-38.14433,-31.271477,
39038,,,-69.49152
39947,-64.28571,-64.28571,
40039,,,-72.39264
40948,-19.463087,-36.24161,
41040,,,-72.02797
41949,-48.79518,-54.81928,
42041,,,-51.672863
42950,-37.5,-37.5,
43042,,,-72.50859
43752,,-146.1017,
43951,-62.711864,,
44043,,,-74.02597
44753,,-44.827587,
44952,-55.172413,,
45044,,,-73.154366
45754,,-75.0,
45953,-3.5714285,,
46045,,,-75.90362
46755,,-29.104477,
46954,-29.104477,,
47046,,,-76.190475
47756,,-59.752323,
47955,-65.944275,,
48047,,,-66.10169
48757,,-52.68139,
48956,-33.753944,,
49048,,,-72.413795
49758,,16.883118,
49957,-38.311687,,
50049,,,-78.57143
50759,,-54.918034,
50958,-38.52459,,
51050,,,-70.149254
51760,,-48.63014,
51959,-48.63014,,
52051,,,-38.080494
52761,,-52.531647,
52960,-46.20253,,
53052,,,-58.990536
