Step,baseline,p90,p90_decay
10,1394.046,1399.8805,1396.4911
21,2788.0378,2799.5537,2795.736
32,4182.0405,4199.306,4195.6016
43,5576.048,5598.9326,5595.298
54,6969.8276,6998.783,6994.8525
65,8363.756,8398.758,8394.406
76,9758.472,9798.618,9794.009
87,11156.148,11198.65,11194.114
98,12555.276,12084.665,12080.416
109,13954.645,12970.858,12966.837
121,15353.796,13856.628,13853.16
132,16752.61,14742.609,14738.965
143,18151.754,15628.103,15624.933
154,19551.006,16514.13,16510.807
165,20950.664,17399.928,17396.895
176,22350.064,18285.94,18283.158
187,23749.17,19172.06,19169.197
198,25147.643,20057.89,20054.613
209,26546.393,20943.47,20940.607
220,27945.68,21829.246,21826.705
231,,22715.283,22712.799
232,29344.94,,
243,30743.854,23601.336,23598.707
254,32142.906,24487.379,24484.744
265,33541.84,25373.578,25371.09
276,34940.32,26259.54,26257.121
287,36338.688,27145.664,
288,,,27143.354
298,37737.36,28031.9,
299,,,28028.908
309,,28918.053,
310,39136.22,,28915.057
320,,29804.346,
321,40534.707,,29801.047
331,,30690.434,
332,41933.023,,
333,,,30686.527
343,43331.223,31576.693,
345,,,31572.945
354,44729.49,32462.146,
356,,,32459.19
365,46127.785,33348.15,
368,,,33345.2
376,,34234.582,
377,47526.33,,
379,,,34231.387
387,,35119.844,
388,48924.812,,
390,,,35117.22
398,,36005.918,
399,50323.508,,
402,,,36003.45
409,,36891.914,
410,51722.152,,
413,,,36889.336
420,,37777.793,
421,53121.234,,
424,,,37775.41
431,,38663.785,
432,54520.17,,
437,,,38661.562
442,,39549.656,
443,55918.85,,
449,,,39547.9
453,,40435.586,
454,57317.46,,
460,,,40434.03
465,58716.004,41321.68,
471,,,41319.91
476,60114.543,42207.773,
483,,,42206.004
487,61513.34,43093.336,
494,,,43092.367
498,,43979.387,
499,62911.785,,
505,,,43978.414
509,,44865.43,
510,64310.715,,
516,,,44864.664
520,,45751.61,
521,65709.125,,
528,,,45750.88
531,,46637.188,
532,67107.93,,
539,,,46637.145
542,,47523.402,
543,68506.59,,
550,,,47523.453
553,,48409.098,
555,69905.45,,
561,,,48409.344
564,,49295.594,
566,71303.94,,
572,,,49295.523
575,,50181.78,
577,72702.46,,
584,,,50181.223
587,,51067.375,
589,74101.42,,
595,,,51067.562
598,,51953.27,
600,75500.64,,
607,,,51953.293
609,,52839.37,
611,76899.12,,
619,,,52839.57
620,,53725.777,
622,78298.0,,
630,,,53725.21
631,,54611.766,
633,79697.28,,
642,,55497.895,54611.58
645,81095.55,,
653,,56383.957,55497.492
656,82494.48,,
664,,57269.918,
665,,,56383.64
667,83893.164,,
675,,58156.035,
676,,,57269.7
679,85292.14,,
686,,59042.188,
687,,,58155.848
690,86690.805,,
698,,59928.34,
699,,,59042.2
702,88089.484,,
709,,60813.945,
710,,,59928.4
713,89488.02,,
720,,61700.24,
721,,,60814.594
724,90886.36,,
731,,62586.195,
732,,,61700.547
736,92284.336,,
742,,63472.168,
743,,,62586.633
747,93682.73,,
753,,64358.19,
756,,,63472.86
758,95081.484,,
764,,65244.105,
767,,,64358.79
769,96480.23,,
775,,66130.09,
778,,,65245.016
781,97878.78,,
786,,67016.02,
790,,,66131.125
792,99277.52,,
797,,67901.72,
802,,,67017.12
804,100676.48,,
808,,68787.77,
813,,,67903.27
815,102075.65,,
820,,69673.7,
825,,,68789.586
827,103474.78,,
831,,70559.67,
836,,,69675.414
838,104873.6,,
842,,71445.734,
847,,,70561.38
850,106272.58,,
853,,72331.68,
859,,,71447.83
861,107671.05,,
864,,73217.625,
870,,,72334.15
872,109069.77,,
875,,74103.44,
881,,,73220.49
883,110468.31,,
886,,74989.4,
892,,,74106.516
895,111866.91,,
897,,75875.55,
904,,,74992.836
906,113265.266,,
908,,76761.55,
915,,,75879.02
917,114663.305,,
919,,77647.46,
926,,,76764.73
929,116061.9,,
930,,78533.516,
937,,,77650.76
941,117459.97,,
942,,79419.55,
948,,,78536.89
953,118858.805,80305.69,
959,,,79423.08
964,120257.21,81191.11,
970,,,80308.89
975,,82077.25,
976,121656.05,,
982,,,81195.086
986,,82963.33,
987,123055.02,,
993,,,82081.43
997,,83849.23,
998,124454.01,,
1004,,,82967.375
1008,,84735.49,
1009,125852.734,,
1015,,,83852.875
1019,,85621.68,
1020,127250.93,,
1026,,,84738.93
1031,128649.56,86507.68,
1037,,,85625.31
1042,130048.33,87393.32,
1048,,,86511.45
1053,131447.36,88279.13,
1060,,,87397.75
1064,132846.06,89165.266,
1071,,,88284.01
1075,,90051.35,
1076,134244.45,,
1082,,,89170.25
1086,,90937.55,
1087,135643.14,,
1093,,,90055.89
1097,,91823.51,
1098,137041.64,,
1104,,,90941.45
1108,,92709.414,
1109,138440.05,,
1115,,,91827.734
1119,,93595.516,
1120,139838.81,,
1126,,,92713.945
1130,,94481.51,
1131,141237.36,,
1137,,,93600.19
1141,,95367.53,
1142,142636.12,,
1148,,,94486.07
1153,144035.08,96253.3,
1160,,,95371.87
1164,145434.08,97139.695,
1171,,,96257.85
1175,,98025.59,
1176,146832.48,,
1182,,,97144.24
1186,,98912.01,
1187,148231.36,,
1193,,,98030.25
1197,,99797.93,
1198,149630.14,,
1204,,,98916.11
1208,,100683.8,
1209,151028.98,,
1215,,,99802.125
1219,,101570.07,
1220,152427.55,,
1226,,,100688.46
1230,,102455.88,
1231,153825.95,,
1237,,,101574.57
1241,,103341.78,
1242,155224.05,,
1248,,,102460.76
1252,,104227.39,
1254,156622.7,,
1259,,,103347.055
1263,,105113.46,
1265,158021.06,,
1270,,,104233.414
1275,,105999.766,
1276,159419.39,,
1282,,,105119.62
1286,,106885.555,
1288,160818.2,,
1293,,,106005.84
1297,,107771.51,
1299,162216.75,,
1304,,,106891.73
1308,,108657.53,
1310,163615.38,,
1315,,,107778.29
1319,,109543.14,
1321,165013.89,,
1326,,,108664.64
1330,,110428.95,
1332,166412.25,,
1337,,,109550.89
1341,,111315.3,
1343,167810.42,,
1348,,,110436.85
1352,,112201.516,
1354,169209.19,,
1359,,,111323.14
1363,,113087.6,
1365,170607.86,,
1370,,,112209.13
1374,,113973.59,
1376,172006.05,,
1381,,,113095.37
1385,,114859.78,
1388,173404.64,,
1393,,,113981.62
1397,,115745.82,
1399,174803.42,,
1404,,,114868.18
1408,,116632.09,
1410,176201.98,,
1415,,,115753.97
1419,,117517.92,
1421,177600.45,,
1426,,,116639.78
1430,,118404.17,
1432,178999.14,,
1437,,,117525.78
1441,,119290.6,
1443,180397.34,,
1448,,,118412.4
1452,,120176.6,
1454,181795.77,,
1459,,,119298.234
1463,,121062.25,
1465,183194.42,,
1470,,,120184.57
1474,,121948.32,
1476,184592.81,,
1481,,,121070.47
1485,,122834.27,
1488,185991.3,,
1493,,,121956.27
1496,,123720.59,
1499,187389.7,,
1504,,,122842.48
1507,,124606.96,
1510,188787.95,,
1515,,,123728.23
1519,,125492.6,
1521,190186.6,,
1526,,,124614.66
1530,,126378.836,
1532,191585.39,,
1537,,,125501.17
1541,,127265.086,
1543,192983.97,,
1549,,,126386.75
1552,,128151.22,
1555,194382.69,,
1560,,,127273.07
1563,,129037.086,
1566,195781.56,,
1571,,,128159.25
1574,,129923.17,
1577,197180.02,,
1582,,,129045.266
1585,,130809.055,
1588,198578.75,,
1593,,,129931.29
1596,,131694.64,
1599,199977.66,,
1605,,,130817.33
1607,,132580.72,
1610,201376.47,,
1616,,,131703.81
1618,,133467.0,
1621,202775.58,,
1628,,,132590.06
1629,,134353.02,
1632,204174.12,,
1639,,,133475.86
1641,,135239.33,
1643,205572.77,,
1651,,,134362.22
1652,,136125.38,
1655,206971.66,,
1663,,137011.33,135248.19
1666,208370.38,,
1674,,137897.42,136134.44
1677,209768.47,,
1685,,138783.8,
1686,,,137020.38
1688,211167.3,,
1696,,139670.05,
1697,,,137906.55
1699,212565.84,,
1707,,140555.95,
1708,,,138792.31
1710,213964.22,,
