"global_step","1777156828-grad-compression=surprise - charts/episodic_return","1777156828-grad-compression=surprise - charts/episodic_return__MIN","1777156828-grad-compression=surprise - charts/episodic_return__MAX","1777156828-grad-compression=surprise - _step","1777156828-grad-compression=surprise - _step__MIN","1777156828-grad-compression=surprise - _step__MAX","1776981725-grad-compression=none - charts/episodic_return","1776981725-grad-compression=none - charts/episodic_return__MIN","1776981725-grad-compression=none - charts/episodic_return__MAX","1776981725-grad-compression=none - _step","1776981725-grad-compression=none - _step__MIN","1776981725-grad-compression=none - _step__MAX"
"-3096","-49.090908","-49.090908","-49.090908","0","0","0","-49.090908","-49.090908","-49.090908","0","0","0"
"-2095","-57.627117","-57.627117","-57.627117","1","1","1","-57.627117","-57.627117","-57.627117","1","1","1"
"-1094","-54.248367","-54.248367","-54.248367","2","2","2","-54.248367","-54.248367","-54.248367","2","2","2"
"-93","-48.63014","-48.63014","-48.63014","3","3","3","-48.63014","-48.63014","-48.63014","3","3","3"
"908","-45.652172","-45.652172","-45.652172","15","15","15","-45.652172","-45.652172","-45.652172","14","14","14"
"1909","-45.255474","-45.255474","-45.255474","16","16","16","-45.255474","-45.255474","-45.255474","15","15","15"
"2910","-48.71795","-48.71795","-48.71795","17","17","17","-48.71795","-48.71795","-48.71795","16","16","16"
"3911","-42.446045","-42.446045","-42.446045","18","18","18","-42.446045","-42.446045","-42.446045","17","17","17"
"4912","-44.23792","-44.23792","-44.23792","30","30","30","-44.23792","-44.23792","-44.23792","28","28","28"
"5913","-31.97279","-31.97279","-31.97279","31","31","31","-31.97279","-31.97279","-31.97279","29","29","29"
"6914","-30.147058","-30.147058","-30.147058","32","32","32","-30.147058","-30.147058","-30.147058","30","30","30"
"7915","-28.813559","-28.813559","-28.813559","33","33","33","-28.813559","-28.813559","-28.813559","31","31","31"
"8916","-62.732918","-62.732918","-62.732918","45","45","45","-62.732918","-62.732918","-62.732918","42","42","42"
"9917","-21.39738","-21.39738","-21.39738","46","46","46","-21.39738","-21.39738","-21.39738","43","43","43"
"10918","-21.708185","-21.708185","-21.708185","47","47","47","-21.708185","-21.708185","-21.708185","44","44","44"
"11919","-47.183098","-47.183098","-47.183098","48","48","48","-47.183098","-47.183098","-47.183098","45","45","45"
"12920","-34.98452","-34.98452","-34.98452","60","60","60","-34.98452","-34.98452","-34.98452","56","56","56"
"13921","-28.327644","-28.327644","-28.327644","61","61","61","-28.327644","-28.327644","-28.327644","57","57","57"
"14922","-60.99291","-60.99291","-60.99291","62","62","62","-60.99291","-60.99291","-60.99291","58","58","58"
"15923","-19.753086","-19.753086","-19.753086","63","63","63","-19.753086","-19.753086","-19.753086","59","59","59"
"16924","-30.362118","-30.362118","-30.362118","75","75","75","-30.362118","-30.362118","-30.362118","70","70","70"
"17925","-21.146954","-21.146954","-21.146954","76","76","76","-21.146954","-21.146954","-21.146954","71","71","71"
"18926","-37.5","-37.5","-37.5","77","77","77","-37.5","-37.5","-37.5","72","72","72"
"19927","-44.805195","-44.805195","-44.805195","78","78","78","-44.805195","-44.805195","-44.805195","73","73","73"
"20928","-35.361217","-35.361217","-35.361217","90","90","90","-35.361217","-35.361217","-35.361217","84","84","84"
"21929","-53.177258","-53.177258","-53.177258","91","91","91","-53.177258","-53.177258","-53.177258","85","85","85"
"22930","-66.049385","-66.049385","-66.049385","92","92","92","-66.049385","-66.049385","-66.049385","86","86","86"
"23931","-47.882736","-47.882736","-47.882736","93","93","93","-47.882736","-47.882736","-47.882736","87","87","87"
"24932","-25.324675","-25.324675","-25.324675","105","105","105","-25.324675","-25.324675","-25.324675","98","98","98"
"25933","-54.86111","-54.86111","-54.86111","106","106","106","-54.86111","-54.86111","-54.86111","99","99","99"
"26934","-43.060497","-43.060497","-43.060497","107","107","107","-43.060497","-43.060497","-43.060497","100","100","100"
"27935","-61.42433","-61.42433","-61.42433","108","108","108","-61.42433","-61.42433","-61.42433","101","101","101"
"28936","39.465874","39.465874","39.465874","120","120","120","39.465874","39.465874","39.465874","112","112","112"
"29937","-60.1227","-60.1227","-60.1227","121","121","121","-60.1227","-60.1227","-60.1227","113","113","113"
"30938","-52.727272","-52.727272","-52.727272","122","122","122","-52.727272","-52.727272","-52.727272","114","114","114"
"31939","-67.84566","-67.84566","-67.84566","123","123","123","-67.84566","-67.84566","-67.84566","115","115","115"
"32940","-53.488373","-53.488373","-53.488373","139","139","139","-56.81063","-56.81063","-56.81063","126","126","126"
"33941","-46.478874","-46.478874","-46.478874","140","140","140","-46.478874","-46.478874","-46.478874","127","127","127"
"34942","-66.10169","-66.10169","-66.10169","141","141","141","-66.10169","-66.10169","-66.10169","128","128","128"
"35943","-69.32516","-69.32516","-69.32516","142","142","142","-72.39264","-72.39264","-72.39264","129","129","129"
"36944","-65.034966","-65.034966","-65.034966","158","158","158","-65.034966","-65.034966","-65.034966","140","140","140"
"37945","-51.672863","-51.672863","-51.672863","159","159","159","-51.672863","-51.672863","-51.672863","141","141","141"
"38946","-38.14433","-38.14433","-38.14433","160","160","160","-31.271477","-31.271477","-31.271477","142","142","142"
"39947","-64.28571","-64.28571","-64.28571","161","161","161","-64.28571","-64.28571","-64.28571","143","143","143"
"40948","-19.463087","-19.463087","-19.463087","162","162","162","-36.24161","-36.24161","-36.24161","144","144","144"
"41949","-48.79518","-48.79518","-48.79518","178","178","178","-54.81928","-54.81928","-54.81928","155","155","155"
"42950","-37.5","-37.5","-37.5","179","179","179","-37.5","-37.5","-37.5","156","156","156"
"43752","","","","","","","-146.1017","-146.1017","-146.1017","157","157","157"
"43951","-62.711864","-62.711864","-62.711864","180","180","180","","","","","",""
"44753","","","","","","","-44.827587","-44.827587","-44.827587","158","158","158"
"44952","-55.172413","-55.172413","-55.172413","181","181","181","","","","","",""
"45754","","","","","","","-75","-75","-75","169","169","169"
"45953","-3.5714285","-3.5714285","-3.5714285","197","197","197","","","","","",""
"46755","","","","","","","-29.104477","-29.104477","-29.104477","170","170","170"
"46954","-29.104477","-29.104477","-29.104477","198","198","198","","","","","",""
"47756","","","","","","","-59.752323","-59.752323","-59.752323","171","171","171"
"47955","-65.944275","-65.944275","-65.944275","199","199","199","","","","","",""
"48757","","","","","","","-52.68139","-52.68139","-52.68139","172","172","172"
"48956","-33.753944","-33.753944","-33.753944","200","200","200","","","","","",""
"49758","","","","","","","16.883118","16.883118","16.883118","183","183","183"
"49957","-38.311687","-38.311687","-38.311687","216","216","216","","","","","",""
"50759","","","","","","","-54.918034","-54.918034","-54.918034","184","184","184"
"50958","-38.52459","-38.52459","-38.52459","217","217","217","","","","","",""
"51760","","","","","","","-48.63014","-48.63014","-48.63014","185","185","185"
"51959","-48.63014","-48.63014","-48.63014","218","218","218","","","","","",""
"52761","","","","","","","-52.531647","-52.531647","-52.531647","186","186","186"
"52960","-46.20253","-46.20253","-46.20253","219","219","219","","","","","",""
"53762","","","","","","","-82.69896","-82.69896","-82.69896","197","197","197"
"53961","-61.937717","-61.937717","-61.937717","235","235","235","","","","","",""
"54763","","","","","","","-68.75","-68.75","-68.75","198","198","198"
"54962","-68.75","-68.75","-68.75","236","236","236","","","","","",""
"55764","","","","","","","-47.761192","-47.761192","-47.761192","199","199","199"
