"global_step","1765346631-grad-compression=accumulate-grads - charts/episodic_return","1765346631-grad-compression=accumulate-grads - charts/episodic_return__MIN","1765346631-grad-compression=accumulate-grads - charts/episodic_return__MAX","1765346631-grad-compression=accumulate-grads - _step","1765346631-grad-compression=accumulate-grads - _step__MIN","1765346631-grad-compression=accumulate-grads - _step__MAX","1765346490-grad-compression=accumulate-grads - charts/episodic_return","1765346490-grad-compression=accumulate-grads - charts/episodic_return__MIN","1765346490-grad-compression=accumulate-grads - charts/episodic_return__MAX","1765346490-grad-compression=accumulate-grads - _step","1765346490-grad-compression=accumulate-grads - _step__MIN","1765346490-grad-compression=accumulate-grads - _step__MAX","1765346213-grad-compression=None - charts/episodic_return","1765346213-grad-compression=None - charts/episodic_return__MIN","1765346213-grad-compression=None - charts/episodic_return__MAX","1765346213-grad-compression=None - _step","1765346213-grad-compression=None - _step__MIN","1765346213-grad-compression=None - _step__MAX","1763876097-gradient-stats - charts/episodic_return","1763876097-gradient-stats - charts/episodic_return__MIN","1763876097-gradient-stats - charts/episodic_return__MAX","1763876097-gradient-stats - _step","1763876097-gradient-stats - _step__MIN","1763876097-gradient-stats - _step__MAX"
"-3096","-52.727272","-52.727272","-52.727272","0","0","0","-52.727272","-52.727272","-52.727272","0","0","0","-52.727272","-52.727272","-52.727272","0","0","0","","","","","",""
"-2095","-60.451977","-60.451977","-60.451977","1","1","1","-60.451977","-60.451977","-60.451977","1","1","1","-60.451977","-60.451977","-60.451977","1","1","1","","","","","",""
"-1094","-54.248367","-54.248367","-54.248367","2","2","2","-54.248367","-54.248367","-54.248367","2","2","2","-54.248367","-54.248367","-54.248367","2","2","2","","","","","",""
"-93","-55.47945","-55.47945","-55.47945","3","3","3","-55.47945","-55.47945","-55.47945","3","3","3","-55.47945","-55.47945","-55.47945","3","3","3","","","","","",""
"908","-38.405796","-38.405796","-38.405796","11","11","11","-38.405796","-38.405796","-38.405796","11","11","11","-38.405796","-38.405796","-38.405796","11","11","11","","","","","",""
"1000","","","","","","","","","","","","","","","","","","","-45.454544","-45.454544","-45.454544","0","0","0"
"1909","-37.956203","-37.956203","-37.956203","12","12","12","-37.956203","-37.956203","-37.956203","12","12","12","-37.956203","-37.956203","-37.956203","12","12","12","","","","","",""
"2001","","","","","","","","","","","","","","","","","","","-60.451977","-60.451977","-60.451977","1","1","1"
"2910","-45.51282","-45.51282","-45.51282","13","13","13","-45.51282","-45.51282","-45.51282","13","13","13","-45.51282","-45.51282","-45.51282","13","13","13","","","","","",""
"3002","","","","","","","","","","","","","","","","","","","-57.51634","-57.51634","-57.51634","2","2","2"
"3911","-42.446045","-42.446045","-42.446045","14","14","14","-42.446045","-42.446045","-42.446045","14","14","14","-42.446045","-42.446045","-42.446045","14","14","14","","","","","",""
"4003","","","","","","","","","","","","","","","","","","","-52.054794","-52.054794","-52.054794","3","3","3"
"4912","-29.36803","-29.36803","-29.36803","22","22","22","-29.36803","-29.36803","-29.36803","22","22","22","-29.36803","-29.36803","-29.36803","22","22","22","","","","","",""
"5004","","","","","","","","","","","","","","","","","","","-45.652172","-45.652172","-45.652172","12","12","12"
"5913","-52.38095","-52.38095","-52.38095","23","23","23","-52.38095","-52.38095","-52.38095","23","23","23","-52.38095","-52.38095","-52.38095","23","23","23","","","","","",""
"6005","","","","","","","","","","","","","","","","","","","-45.255474","-45.255474","-45.255474","13","13","13"
"6914","-26.470589","-26.470589","-26.470589","24","24","24","-26.470589","-26.470589","-26.470589","24","24","24","-26.470589","-26.470589","-26.470589","24","24","24","","","","","",""
"7006","","","","","","","","","","","","","","","","","","","-48.71795","-48.71795","-48.71795","14","14","14"
"7915","-38.98305","-38.98305","-38.98305","25","25","25","-38.98305","-38.98305","-38.98305","25","25","25","-38.98305","-38.98305","-38.98305","25","25","25","","","","","",""
"8007","","","","","","","","","","","","","","","","","","","-42.446045","-42.446045","-42.446045","15","15","15"
"8916","-37.8882","-37.8882","-37.8882","33","33","33","-37.8882","-37.8882","-37.8882","33","33","33","-37.8882","-37.8882","-37.8882","33","33","33","","","","","",""
