"global_step","1779039473-grad-compression=accumulate-grads - charts/episodic_return","1779039473-grad-compression=accumulate-grads - charts/episodic_return__MIN","1779039473-grad-compression=accumulate-grads - charts/episodic_return__MAX","1779039473-grad-compression=accumulate-grads - _step","1779039473-grad-compression=accumulate-grads - _step__MIN","1779039473-grad-compression=accumulate-grads - _step__MAX","1778997949-grad-compression=accumulate-grads - charts/episodic_return","1778997949-grad-compression=accumulate-grads - charts/episodic_return__MIN","1778997949-grad-compression=accumulate-grads - charts/episodic_return__MAX","1778997949-grad-compression=accumulate-grads - _step","1778997949-grad-compression=accumulate-grads - _step__MIN","1778997949-grad-compression=accumulate-grads - _step__MAX","1778988573-grad-compression=none - charts/episodic_return","1778988573-grad-compression=none - charts/episodic_return__MIN","1778988573-grad-compression=none - charts/episodic_return__MAX","1778988573-grad-compression=none - _step","1778988573-grad-compression=none - _step__MIN","1778988573-grad-compression=none - _step__MAX"
"25600","0","0","0","278.5","275","282","0","0","0","278.5","275","282","0","0","0","278.5","275","282"
"52232","0","0","0","583.5","580","587","0","0","0","583.5","580","587","0","0","0","583.5","580","587"
"78864","0","0","0","877.5","874","881","0","0","0","877.5","874","881","0","0","0","877.5","874","881"
"105496","0","0","0","1171.5","1168","1175","0","0","0","1171.5","1168","1175","0","0","0","1171.5","1168","1175"
"132128","0","0","0","1465.5","1462","1469","0","0","0","1465.5","1462","1469","0","0","0","1465.5","1462","1469"
"158760","1.25","0","5","1759.5","1756","1763","0","0","0","1759.5","1756","1763","0.75","0","3","1759.5","1756","1763"
"185392","7.125","1","18","2053.5","2050","2057","0","0","0","2053.5","2050","2057","5.125","0","13","2053.5","2050","2057"
"212024","4.625","0","9","2347.5","2344","2351","0","0","0","2347.5","2344","2351","4.5","0","18","2347.5","2344","2351"
"238656","12.25","0","44","2641.5","2638","2645","0","0","0","2641.5","2638","2645","7.5","0","22","2641.5","2638","2645"
"265288","12.75","0","28","2935.5","2932","2939","0","0","0","2935.5","2932","2939","10.5","0","25","2935.5","2932","2939"
"291920","6","0","17","3229.5","3226","3233","0","0","0","3229.5","3226","3233","10.625","0","34","3229.5","3226","3233"
"318552","5","0","15","3523.5","3520","3527","0","0","0","3523.5","3520","3527","15.375","3","39","3523.5","3520","3527"
"345184","10.375","2","19","3817.5","3814","3821","0.375","0","3","3817.5","3814","3821","6","0","11","3817.5","3814","3821"
"371816","14.625","4","36","4111.5","4108","4115","6.5","0","20","4111.5","4108","4115","6.375","0","24","4111.5","4108","4115"
"398448","17.25","1","25","4405.5","4402","4409","9.125","1","25","4405.5","4402","4409","7.75","0","28","4405.5","4402","4409"
"425080","19.75","8","42","4699.5","4696","4703","12.75","0","35","4699.5","4696","4703","14.5","0","32","4699.5","4696","4703"
"451712","15.5","3","39","4993.5","4990","4997","10","2","27","4993.5","4990","4997","7.75","0","22","4993.5","4990","4997"
"478344","17.25","1","42","5287.5","5284","5291","18","5","35","5287.5","5284","5291","6.25","0","18","5287.5","5284","5291"
"504976","26.875","2","43","5616.5","5613","5620","13.5","3","24","5616.5","5613","5620","6.25","0","14","5581.5","5578","5585"
"531608","12.125","5","18","6092.5","6089","6096","13.75","0","34","6092.5","6089","6096","11.125","4","17","5875.5","5872","5879"
"558240","9.75","2","21","6568.5","6565","6572","18","5","34","6568.5","6565","6572","11.625","0","33","6169.5","6166","6173"
"584872","22.75","4","47","7044.5","7041","7048","15","0","41","7044.5","7041","7048","14.625","3","34","6463.5","6460","6467"
"611504","25.875","6","52","7520.5","7517","7524","8.75","1","20","7520.5","7517","7524","21.25","10","30","6757.5","6754","6761"
"638136","40.75","28","75","7996.5","7993","8000","23.75","6","43","7996.5","7993","8000","30.625","8","67","7051.5","7048","7055"
"664768","58.5","38","100","8472.5","8469","8476","31.25","17","42","8472.5","8469","8476","36.5","8","59","7345.5","7342","7349"
"691400","78.25","36","113","8948.5","8945","8952","33.75","13","48","8948.5","8945","8952","52.5","25","90","7639.5","7636","7643"
"718032","93.625","55","128","9424.5","9421","9428","35.125","11","55","9424.5","9421","9428","56.5","21","95","7933.5","7930","7937"
"744664","78.5","42","103","9900.5","9897","9904","49","27","92","9900.5","9897","9904","54.125","18","77","8227.5","8224","8231"
"771296","79.625","55","104","10376.5","10373","10380","57.75","29","85","10376.5","10373","10380","63.375","30","114","8521.5","8518","8525"
"797928","94.5","46","121","10852.5","10849","10856","55.75","37","74","10852.5","10849","10856","69.375","45","106","8815.5","8812","8819"
"824560","89.125","48","136","11328.5","11325","11332","71.25","52","87","11328.5","11325","11332","82.625","48","112","9109.5","9106","9113"
"851192","80.75","32","117","11804.5","11801","11808","80.75","34","104","11804.5","11801","11808","91.5","68","122","9403.5","9400","9407"
"877824","77.875","43","122","12280.5","12277","12284","90.75","70","120","12280.5","12277","12284","80.25","51","103","9697.5","9694","9701"
"904456","105.75","90","127","12756.5","12753","12760","82.875","44","108","12756.5","12753","12760","82","40","103","9991.5","9988","9995"
"931088","113.5","89","131","13232.5","13229","13236","79","46","114","13232.5","13229","13236","79.5","42","124","10285.5","10282","10289"
"957720","113.25","97","130","13708.5","13705","13712","101.25","70","128","13708.5","13705","13712","98","78","125","10579.5","10576","10583"
"984352","98","80","119","14184.5","14181","14188","106.375","97","115","14184.5","14181","14188","98.875","71","113","10873.5","10870","10877"
"1010984","113.5","87","146","14660.5","14657","14664","97.75","46","134","14660.5","14657","14664","115.625","94","141","11167.5","11164","11171"
"1037616","110.25","72","142","15136.5","15133","15140","90.375","52","130","15136.5","15133","15140","98.625","82","127","11461.5","11458","11465"
"1064248","132.5","102","169","15612.5","15609","15616","109.75","85","124","15612.5","15609","15616","109.375","95","134","11755.5","11752","11759"
"1090880","135.875","113","170","16088.5","16085","16092","122","104","165","16088.5","16085","16092","112.5","96","129","12049.5","12046","12053"
"1117512","129.625","99","197","16564.5","16561","16568","129.375","107","161","16564.5","16561","16568","100.25","52","150","12343.5","12340","12347"
"1144144","141.875","123","174","17040.5","17037","17044","117","77","135","17040.5","17037","17044","119.375","101","155","12637.5","12634","12641"
"1170776","139","114","164","17516.5","17513","17520","122.5","108","155","17516.5","17513","17520","104.375","66","134","12931.5","12928","12935"
"1197408","129.625","107","170","17992.5","17989","17996","124","101","138","17992.5","17989","17996","113.25","99","129","13225.5","13222","13229"
"1224040","137.625","123","162","18468.5","18465","18472","118.25","102","159","18468.5","18465","18472","124.375","104","163","13519.5","13516","13523"
"1250672","154.125","123","178","18944.5","18941","18948","111","59","148","18944.5","18941","18948","113.625","75","148","13813.5","13810","13817"
"1277304","138.5","112","162","19420.5","19417","19424","115.5","104","127","19420.5","19417","19424","134.75","107","174","14107.5","14104","14111"
"1303936","153.25","127","174","19896.5","19893","19900","126.75","91","158","19896.5","19893","19900","135.75","102","166","14401.5","14398","14405"
"1330568","131","116","167","20372","20369","20375","133.125","117","160","20372.5","20369","20376","137.25","112","173","14695.5","14692","14699"
"1357192","340","340","340","20844","20844","20844","","","","","","","","","","","",""
"1357200","144.42857142857142","130","168","20848","20845","20851","132.25","103","172","20848.5","20845","20852","130.375","116","163","14989.5","14986","14993"
"1383824","130","130","130","21320","21320","21320","","","","","","","","","","","",""
"1383832","148.42857142857142","96","188","21324","21321","21327","133.5","109","168","21324.5","21321","21328","146.75","114","176","15283.5","15280","15287"
"1410456","113","113","113","21796","21796","21796","","","","","","","","","","","",""
"1410464","143.71428571428572","117","174","21800","21797","21803","146.375","118","197","21800.5","21797","21804","128.75","110","145","15577.5","15574","15581"
"1437088","138","138","138","22272","22272","22272","","","","","","","","","","","",""
"1437096","144.28571428571428","125","155","22276","22273","22279","150.625","121","189","22276.5","22273","22280","161.85714285714286","122","194","15871","15868","15874"
"1463720","132","132","132","22748","22748","22748","","","","","","","331","331","331","16161","16161","16161"
"1463728","137","115","159","22751.5","22749","22754","142.25","106","180","22752.5","22749","22756","144.28571428571428","111","180","16165","16162","16168"
"1490352","259.5","145","374","23223.5","23223","23224","","","","","","","155","155","155","16455","16455","16455"
