"Step","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MIN","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MAX"
"10","144.2344","144.2344","144.2344","144.2344","144.2344","144.2344","144.2344","144.2344","144.2344"
"21","288.4688","288.4688","288.4688","288.4688","288.4688","288.4688","288.4688","288.4688","288.4688"
"32","432.70322","432.70322","432.70322","432.70322","432.70322","432.70322","432.70322","432.70322","432.70322"
"43","576.9376","576.9376","576.9376","576.9376","576.9376","576.9376","576.9376","576.9376","576.9376"
"54","721.172","721.172","721.172","721.172","721.172","721.172","721.172","721.172","721.172"
"65","865.40643","865.40643","865.40643","865.40643","865.40643","865.40643","865.40643","865.40643","865.40643"
"76","1009.64087","1009.64087","1009.64087","1009.64087","1009.64087","1009.64087","1009.64087","1009.64087","1009.64087"
"87","1153.8752","1153.8752","1153.8752","1153.8752","1153.8752","1153.8752","1153.8752","1153.8752","1153.8752"
"98","1298.1096","1298.1096","1298.1096","1298.1096","1298.1096","1298.1096","1298.1096","1298.1096","1298.1096"
"109","1442.344","1442.344","1442.344","1442.344","1442.344","1442.344","1442.344","1442.344","1442.344"
"120","1586.5785","1586.5785","1586.5785","1586.5785","1586.5785","1586.5785","1586.5785","1586.5785","1586.5785"
"131","1730.8129","1730.8129","1730.8129","1730.8129","1730.8129","1730.8129","1730.8129","1730.8129","1730.8129"
"142","1875.0472","1875.0472","1875.0472","1875.0472","1875.0472","1875.0472","1875.0472","1875.0472","1875.0472"
"153","2019.2817","2019.2817","2019.2817","2019.2817","2019.2817","2019.2817","2019.2817","2019.2817","2019.2817"
"164","2163.516","2163.516","2163.516","2163.516","2163.516","2163.516","2163.516","2163.516","2163.516"
"175","2307.7505","2307.7505","2307.7505","2307.7505","2307.7505","2307.7505","2307.7505","2307.7505","2307.7505"
"186","2451.9849","2451.9849","2451.9849","2451.9849","2451.9849","2451.9849","2451.9849","2451.9849","2451.9849"
"197","2596.2192","2596.2192","2596.2192","2596.2192","2596.2192","2596.2192","2596.2192","2596.2192","2596.2192"
"208","2740.4536","2740.4536","2740.4536","2740.4536","2740.4536","2740.4536","2740.4536","2740.4536","2740.4536"
"219","2884.688","2884.688","2884.688","2884.688","2884.688","2884.688","2884.688","2884.688","2884.688"
"230","3028.9226","3028.9226","3028.9226","3028.9226","3028.9226","3028.9226","3028.9226","3028.9226","3028.9226"
"241","3173.157","3173.157","3173.157","3173.157","3173.157","3173.157","3173.157","3173.157","3173.157"
"252","3317.3914","3317.3914","3317.3914","3317.3914","3317.3914","3317.3914","3317.3914","3317.3914","3317.3914"
"263","3461.6257","3461.6257","3461.6257","3461.6257","3461.6257","3461.6257","3461.6257","3461.6257","3461.6257"
"274","3605.86","3605.86","3605.86","3605.86","3605.86","3605.86","3605.86","3605.86","3605.86"
"293","3750.0945","3750.0945","3750.0945","3750.0945","3750.0945","3750.0945","3750.0945","3750.0945","3750.0945"
"304","3894.3289","3894.3289","3894.3289","3894.3289","3894.3289","3894.3289","3894.3289","3894.3289","3894.3289"
"315","4038.5635","4038.5635","4038.5635","4038.5635","4038.5635","4038.5635","4038.5635","4038.5635","4038.5635"
"326","4182.798","4182.798","4182.798","4182.798","4182.798","4182.798","4182.798","4182.798","4182.798"
